"Company","Phone number","Creation date","Sector"
"Cursus In Incorporated","(002) 45726441","25 Nov 2003","IT"
"Adipiscing Company","(00606) 7742008","22 Sep 2005","IT"
"Adipiscing Lacus Corporation","(05646) 4683131","08 Jul 2008","IT"
"Pede Company","(04752) 4145339","24 Dec 2007","IT"
"Ut Cursus Luctus Institute","(068) 40241523","02 Jan 2002","IT"
"Felis Limited","(001) 91497961","13 Jul 2004","IT"
"Sit Amet Industries","(087) 17370346","15 Jan 2013","IT"
"Non Arcu Vivamus Associates","(0406) 82754651","21 May 2015","IT"
"Blandit Congue In Limited","(07333) 6155072","02 Aug 2010","IT"
"Tortor Company","(035889) 956803","04 Apr 2008","IT"